,название,время приезда водителя на лавку,количество поваров и тайминг прибытия повара,Выезд с РЦ
М01,Милютинский,6.30,3 с 6.20,3:50
М02,Покровка,6.30,3 с 6.20,4:30
М03,Пресня,6.40,3 с 6:30,5:10
М04,Спиридоновка,5.45,3 с 5:45,3:50
М06,Николоямская,6.30,3 с 6.30,5:40
М07,Тверской бульвар,6.30,3 с 6:30,3:50
М08,Тимура Фрунзе,6:40,3 с 6:10,3:50
М09,Солянка,5:50,1 с 5.50,4:30
М10,Брестская,6.30,2 с 6.20,5:20
М11,Тверская-Ямская,6.00,1 с 6.00,5:20
М12,Даниловская мануфактура,6:00,1 с 6.00/2 6:30,5:20
М13,Ордынка,6:00,2 с 6.30,4:50
М14,Шмитовский,6.20,1 с 6.20,5:00
М16,Сити,6.55,2 с 6:15,5:00
М17,Б.Сухаревский,6.20,4 с 6.20,3:40
М18,Весковский,5:50,2 с 5:50,5:20
М19,Краснопролетарская,6.30,3 с 6.15,5:10
М20,Спортивная,5:40,3 с 5:40,4:50
М21,Гоголевский,6.30,2 с 6.20,5:20
М22,Аптекарский огород,4:15,4 с 6.20,3:40
М23,Добрынинский,6.30,2 с 6.30,5:00
М24,Стремянный,6:00,3 с 6:00,4:30
М25,Мясницкая,5:20,4 с 6.20,3:50
М26,Левшинский,6:30,1 с 6:15,4:50
М27,Неглинная,6:30,2 с 6.30,5:00
М28,Татарская,5.10,4 с 6.30,4:30
М29,Воздвиженка,6:00,1 с 06:20,5:20
М30,Мичуринский,6:00,3 с 6:00,4:50
М31,Черняховского / Аэропорт,6:00,1 с 6.00 2 с 6:20,5:00
М32,Профсоюзная,6:00,1 с 6.0,5:00
М33,Грузинская,6:20,1 с 6:20:00,5:10
М34,Балтийская,6:40,2 с 6.20,5:10
М35,Алексеевская,5:30,2 с 5:30 1 с 6:00,4:20
М36,Сокол,6:00,2 с 6.00,5:00
М37,Бауманская,6.40,4 с 6.30,5:20
М38,Лесная,6:00,2 с 6.0,5:15
М39,Шаболовка,6:00,2 с 6.30,5:00
М40,Дмитровка,6.30,2 с 6.30,5:40
М41,Спартаковская,5:20,1 с 5.20 ,4:00
М42,Сокольники,6:20,2 с 5.30,4:50
М43,Лазоревый,5.50,повар в 5.45,4:30
М44,Перово,5:40,3 с 5:40,4:20
М45,Остоженка,6.00,2 с 6:20,3:50
М46,Щербаковская,5:30,4 с 5.30,4:45
М47,Павелецкая,6:00,2 в 6:00/1 в 6:30,5:00
М48,Университет,6.40,3 с 6:30,5:00
М49,Депо / Новорязанская,5.40,4 с 5.40,4:50
М50,Волгоградка,5.00,4 с 6.00,3:50
М51,Авиамоторная,6:00,"2 С 6:00:00, 2 С 6:30",4:50
М52,Сусальный,6.00,2 с 6.00,5:20
М53,Б. Полянка,6:00,1 в 6:00/2 в 6:30,4:30
М54,Ямского Поля,5:50, 2 с 5:50,5:10
М55,Электродная,6:40,2 с 6.00,4:50
М56,Сущевская,6:00,2 с 6.00,5:10
М57,Б. Грузинская,6:40,2 с 6.10,5:15
М58,Метрополис,6:00,1 с 5.55 2 с 6:10,5:10
М59,Бутырка,6.30,3 с 6:30,3:50
М60,Б. Дмитровка,6:00,2 с 6.30,5:00
М61,Звенигородка,6:00,2 с 6.15,5:10
М62,Новослободка,5:00,2 с 6.00,3:50
М63,Серпуховская,6:30,3 с 6:30,4:30
М64,Бакунинская,6.00,3 с 5.40,4:00
М65,Пятницкая,6.30,3 с 6:30,4:50
М66,Звездный,6.00,3 с 6:00,4:30
М67,Коломенская,6:00,1 с 6:00/2 с 6:30,4:30
М68,Головинское (Водный ст),6:00,1 с 6.00 2 с 6:10,5:20
М69,Мытищи,5.50,1 с 5.50,4:30
М70,Ботаника,6.10,повар 6.10,5:10
М71,Кузьминки,8:00,"2 с 7:00, приход в 8",5:20
М72,Ватутинки,8.00,2 с 8,6:00
М73,ЗилАрт,6:00,1 в 6:00,5:10
М74,Автозаводская,6.40,1 в 6:00/2в 6:30,5:10
М75,Жулебино,6:15,3 с 6:10,5:00
М76,Солнцево,6:00,2 с 6,4:40
М77,Новокосино,6:40,3 с 6.00,5:00
М78,Рассказовка,6:40,3 с 6:30,4:40
М79,Митино,6:20,3 с 6.20,5:10
М80,Новогиреево,6.00,3 с 6.00,5:00
М81,Осенний (Крылатское),6:00,3 с 6.00,4:40
М82,Бутово,6:10,2 с 6.10,4:40
м83,Юго западная,6.45,2 с 6.00,4:30
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
